Date,MSFT,GOOGL,NVDA
2022-01,296.03,135.09,26.10
2022-02,290.73,131.68,24.24
2022-03,309.00,138.78,27.26
2022-04,277.52,120.44,21.69
2022-05,273.04,111.55,16.94
2022-06,247.65,109.81,15.62
2022-07,280.74,120.83,18.07
2022-08,294.49,124.55,17.52
2022-09,245.45,104.16,12.97
2022-10,232.13,96.58,13.36
2022-11,255.14,99.35,16.56
2022-12,239.82,88.73,14.62
2023-01,252.75,97.05,18.07
2023-02,252.48,92.34,21.59
2023-03,288.29,103.65,27.65
2023-04,307.26,107.25,27.77
2023-05,328.39,123.98,39.29
2023-06,340.54,130.25,42.35
2023-07,359.49,133.51,46.68
2023-08,328.66,131.10,49.26
2023-09,315.83,130.07,43.45
2023-10,329.82,140.93,46.47
2023-11,374.51,132.34,49.52
2023-12,375.87,140.93,49.52
2024-01,404.87,140.52,61.30
2024-02,415.83,156.94,78.77
2024-03,420.55,161.28,90.36
2024-04,389.46,169.25,76.23
2024-05,430.16,174.08,104.45
2024-06,446.34,178.02,123.54
2024-07,446.35,175.55,117.93
2024-08,428.66,163.36,124.92
2024-09,430.32,164.07,121.44
2024-10,432.53,171.96,139.56
2024-11,422.34,175.96,138.85
2024-12,421.39,191.91,134.33
